catalogNumber,Species,coordinates,plotType,longitude,latitude
AUGIEENTB0000173,Harmonia axyridis,41.54437-90.649164,LP-AG,41.54437,-90.649164
AUGIEENTB0000174,Cycloneda munda,41.50609-90.73943,LP-AG,41.50609,-90.73943
AUGIEENTB0000175,Hippodamia convergens,41.50609-90.73943,LP-AG,41.50609,-90.73943
AUGIEENTB0000183,Coccinella septempunctata,41.50609-90.73943,LP-AG,41.50609,-90.73943
AUGIEENTB0000184,coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000185,Chilocorus stigma,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000186,coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000187,Cycloneda munda,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000188,Cycloneda munda,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000189,Propylea quatuordecimpunctata,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000234,Coleomegilla maculata,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000190,Brachiacantha ursina,41.509708-90.640451,LP-GF,41.509708,-90.640451
AUGIEENTB0000233,Brachiacantha ursina,41.435905-90.501559,LP-GF,41.435905,-90.501559
AUGIEENTB0000191,Brachiacantha ursina,41.47252-90.473754,LP-GF,41.47252,-90.473754
AUGIEENTB0000176,Coleomegilla maculata,41.550606-90.62248,LP-GM,41.550606,-90.62248
AUGIEENTB0000177,Coleomegilla maculata,41.550606-90.62248,LP-GM,41.550606,-90.62248
AUGIEENTB0000178,Coleomegilla maculata,41.550606-90.62248,LP-GM,41.550606,-90.62248
AUGIEENTB0000142,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000143,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000144,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000145,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000146,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000147,Coccinella semtempuncata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000148,Coccinella semtempuncata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000149,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000150,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000151,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000152,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000153,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000154,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000155,Hippodamia variegata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000156,Hippodamia parenthesis,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000157,Hippodamia parenthesis,41.537828-90.645823,LP-GU,41.537828,-90.645823
NO SCAN,Larvae,41.537828-90.645823,LP-GU,41.537828,-90.645823
NO SCAN,Larvae,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000158,Cycloneda munda,41.56812-90.57119,LP-GU,41.56812,-90.57119
AUGIEENTB0000159,Harmonia axyridis,41.435905-90.501557,LP-GU,41.435905,-90.501557
AUGIEENTB0000160,Harmonia axyridis,41.47252-90.473754,LP-GU,41.47252,-90.473754
AUGIEENTB0000161,Harmonia axyridis,41.47252-90.473754,LP-GU,41.47252,-90.473754
AUGIEENTB0000179,Coleomegilla maculata,41.5677-90.52301,LP-IC,41.5677,-90.52301
AUGIEENTB0000180,Cycloneda munda,41.5677-90.52301,LP-IC,41.5677,-90.52301
AUGIEENTB0000181,Harmonia axyridis,41.5677-90.52301,LP-IC,41.5677,-90.52301
AUGIEENTB0000182,Harmonia axyridis,41.520413-90.439069,LP-IC,41.520413,-90.439069
AUGIEENTB0000162,Harmonia axyridis,41.469869-90.506684,LP-IC,41.469869,-90.506684
AUGIEENTB0000163,Harmonia axyridis,41.469869-90.506684,LP-IC,41.469869,-90.506684
AUGIEENTB0000164,NA,41.469869-90.506684,LP-IC,41.469869,-90.506684
AUGIEENTB0000220,harmonia axyridis,40.506216-90.553531,LP-GA,40.506216,-90.553531
AUGIEENTB0000221,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000222,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000223,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000224,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000225,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000226,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000227,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000228,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000229,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000230,Hippodamia variegata,41.54693-90.552795,LP-GA,41.54693,-90.552795
NO SCAN,Pupa,41.510229-90.490812,LP-GA,41.510229,-90.490812
AUGIEENTB0000192,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000193,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000194,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000195,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000196,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000197,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000198,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000199,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000200,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000201,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000202,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000203,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000204,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000205,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000206,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000207,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000208,Harmonia axyridis,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000209,coccinella septempunctata,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000210,coccinella septempunctata,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000211,coccinella septempunctata,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000212,coccinella septempunctata,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000213,Cycloneda munda,41.489621-90.635952,LP-PR,41.489621,-90.635952
AUGIEENTB0000214,Hippodamia parenthesis,41.4355-90.510444,LP-PR,41.4355,-90.510444
NO SCAN,Larvae,41.4355-90.510444,LP-PR,41.4355,-90.510444
AUGIEENTB0000215,Propylea quatuordecimpunctata,41.567938-90.5591,LP-PR,41.567938,-90.5591
AUGIEENTB0000216,hippodamia parenthesis,41.567938-90.5591,LP-PR,41.567938,-90.5591
AUGIEENTB0000217,cycloneda munda,41.567938-90.5591,LP-PR,41.567938,-90.5591
NO SCAN,Larvae,41.567938-90.5591,LP-PR,41.567938,-90.5591
NO SCAN,Larvae,41.567938-90.5591,LP-PR,41.567938,-90.5591
NO SCAN,Larvae,41.567938-90.5591,LP-PR,41.567938,-90.5591
NO SCAN,Larvae,41.567938-90.5591,LP-PR,41.567938,-90.5591
NO SCAN,Larvae,41.567938-90.5591,LP-PR,41.567938,-90.5591
AUGIEENTB0000218,Psyllobora vigintimaculata,41.436864-90.552542,LP-PR,41.436864,-90.552542
AUGIEENTB0000219,cycloneda munda,41.436864-90.552542,LP-PR,41.436864,-90.552542
AUGIEENTB0000231,harmonia axyrids,41.509388-90.491046,LP-PR,41.509388,-90.491046
AUGIEENTB0000232,Coleomegilla maculata,41.509388-90.491046,LP-PR,41.509388,-90.491046
AUGIEENTB0000249,Harmonia axyridis,41.544137-90.649164,LP-AG,41.544137,-90.649164
NO SCAN SQUISHED,Coleomegilla maculata,41.544137-90.649164,LP-AG,41.544137,-90.649164
AUGIEENTB0000250,Coleomegilla maculata,41.544137-90.649164,LP-AG,41.544137,-90.649164
AUGIEENTB0000251,Cycloneda Munda,41.50609-90.73943,LP-AG,41.50609,-90.73943
AUGIEENTB0000252,Cycloneda Munda,41.50609-90.73943,LP-AG,41.50609,-90.73943
AUGIEENTB0000254,Chilocorus stigma,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000255,Cycloneda Munda,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000367,NA,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000368,NA,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000369,NA,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000370,NA,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000366,NA,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000374,NA,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000373,NA,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000371,NA,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000375,NA,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000372,Coleomegilla maculata,41.476034-90.557711,LP-GA,41.476034,-90.557711
AUGIEENTB0000309,harmonia axyridis,41.506216-90.553531,LP-GA,41.506216,-90.553531
AUGIEENTB0000310,Psyllobora vigintimaculata,41.506216-90.553531,LP-GA,41.506216,-90.553531
AUGIEENTB0000311,Psyllobora vigintimaculata,41.506216-90.553531,LP-GA,41.506216,-90.553531
AUGIEENTB0000312,Psyllobora vigintimaculata,41.506216-90.553531,LP-GA,41.506216,-90.553531
NO SCAN SQUISHED,NA,41.506216-90.553531,LP-GA,41.506216,-90.553531
AUGIEENTB0000285,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
AUGIEENTB0000286,Coleomegilla maculata,41.54693-90.552795,LP-GA,41.54693,-90.552795
