catalogNumber,genus,specificEpithet,eventDate,country,stateProvince,county,species,commonName
AUGIEENTA0000054,Coccinella,transversoguttata,1980-08-08,United States,Minnesota,Todd,Coccinella transversoguttata,Transverse Ladybird
AUGIEENTA0000055,Epilachna,varivestis,1970-10-02,United States,Illinois,Rock Island,Epilachna varivestis,Mexican Bean Beetle
AUGIEENTA0000056,Epilachna,varivestis,1972-10-07,United States,Illinois,Rock Island,Epilachna varivestis,Mexican Bean Beetle
AUGIEENTA0000057,Epilachna,varivestis,1972-09-16,United States,Illinois,Rock Island,Epilachna varivestis,Mexican Bean Beetle
AUGIEENTA0000058,Hyperaspis,signata,1983-07-08,United States,Kansas,Reno,Hyperaspis signata,Red-Marked Ladybug
AUGIEENTA0000059,Psyllobora,vigintimaculata,1980-10-30,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTA0000060,Psyllobora,vigintimaculata,1980-10-25,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTA0000063,Coleomegilla,maculata,1983-09-15,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000061,Psyllobora,vigintimaculata,1976-10-21,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTA0000062,Coleomegilla,maculata,1982-09-14,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000064,Coleomegilla,maculata,2016-07-20,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000070,Coleomegilla,maculata,1980-09-03,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000069,Coleomegilla,maculata,1982-09-30,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000068,Coleomegilla,maculata,1980-11-07,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000067,Coleomegilla,maculata,1995-04-07,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000065,Coleomegilla,maculata,1982-09-14,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000071,Coleomegilla,maculata,1999-07-06,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000072,Coleomegilla,maculata,1980-06-12,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000073,Coleomegilla,maculata,1965-05-04,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000074,Coleomegilla,maculata,1965-05-04,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000075,Coleomegilla,maculata,1997-08-14,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000076,Coleomegilla,maculata,1999-10-10,United States,IL,McHenry,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000077,Coleomegilla,maculata,1981-09-27,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000078,Coleomegilla,maculata,2008-06-09,United States,IL,Lee,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000079,Coleomegilla,maculata,1976-09-02,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000080,Coleomegilla,maculata,1970-10-12,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000081,Coleomegilla,maculata,1965-05-04,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000082,Coleomegilla,maculata,1984-09-18,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000083,Coleomegilla,maculata,1977-09-06,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000084,Coleomegilla,maculata,2018-10-09,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000085,Coleomegilla,maculata,1986-10-28,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000086,Coleomegilla,maculata,1976-10-26,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000087,Coleomegilla,maculata,1986-09-26,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000088,Coleomegilla,maculata,1982-09-14,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000089,Coleomegilla,maculata,1976-07-12,United States,IL,Lee,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000090,Coleomegilla,maculata,1986-10-30,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000091,Coleomegilla,maculata,1980-09-26,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000092,Coleomegilla,maculata,1965-05-11,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000093,Coleomegilla,maculata,1999-06-11,United States,IL,Lee,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000094,Coleomegilla,maculata,1972-11-05,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000095,Coleomegilla,maculata,1985-10-02,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000096,Coleomegilla,maculata,1982-09-28,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000097,Coleomegilla,maculata,1997-10-21,United States,IL,Lee,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000098,Coleomegilla,maculata,1999-09-17,United States,IL,Whiteside,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000099,Coleomegilla,maculata,1986-09-26,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000100,Chilocorus,stigma,1981-09-13,United States,IL,Rock Island,Chilocorus stigma,Twice Stabbed Ladybug
AUGIEENTA0000101,Adalia,bipunctata,1970-10-06,United States,IL,Rock Island,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000102,Adalia,bipunctata,1965-04-30,United States,Iowa,Scott,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000103,Adalia,bipunctata,1980-11-07,United States,IL,Rock Island,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000104,Adalia,bipunctata,1970-10-30,United States,IL,Rock Island,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000105,Adalia,bipunctata,1965-04-30,United States,Iowa,Scott,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000106,Adalia,bipunctata,1975-06-18,United States,IL,Rock Island,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000107,Adalia,bipunctata,1970-10-02,United States,IL,Rock Island,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000108,Adalia,bipunctata,1970-10-09,United States,IL,Rock Island,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000109,Adalia,bipunctata,1959-03-26,United States,Iowa,Story,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000110,Adalia,bipunctata,1965-04-30,United States,Iowa,Scott,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000111,Adalia,bipunctata,1965-04-30,United States,Iowa,Scott,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000112,Hippodamia,convergens,1965-05-13,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000113,Hippodamia,convergens,1984-09-06,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000114,Hippodamia,convergens,1965-05-04,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000115,Hippodamia,convergens,1974-10-10,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000116,Hippodamia,convergens,1984-09-18,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000117,Hippodamia,convergens,1964-10-19,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000118,Hippodamia,convergens,1965-05-04,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000119,Cycloneda,sanguinea,1970-10-26,United States,IL,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000120,Cycloneda,sanguinea,1996-11-06,United States,IL,Lee,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000121,Cycloneda,sanguinea,1974-10-17,United States,IL,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000122,Cycloneda,sanguinea,1965-05-19,United States,IL,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000123,Cycloneda,sanguinea,1970-10-25,United States,IL,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000124,Cycloneda,sanguinea,1970-10-02,United States,IL,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000125,Cycloneda,sanguinea,1965-05-04,United States,IL,Mercer,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000126,Cycloneda,sanguinea,1980-06-18,United States,Minnesota,Todd,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000127,Cycloneda,sanguinea,1970-10-24,United States,IL,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000128,Cycloneda,sanguinea,1970-10-02,United States,IL,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000129,Cycloneda,sanguinea,1964-10-20,United States,IL,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000130,Cycloneda,sanguinea,2003-08-08,United States,IL,Lee,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000131,Cycloneda,sanguinea,1996-07-12,United States,IL,Lee,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000132,Cycloneda,sanguinea,1974-09-17,United States,IL,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000133,Hippodamia,tredecimpunctata,1965-05-04,United States,IL,Mercer,Hippodamia tredecimpunctata,Thirteen-spotted Lady Beetle
AUGIEENTA0000134,Hippodamia,tredecimpunctata,1980-06-16,United States,IL,Rock Island,Hippodamia tredecimpunctata,Thirteen-spotted Lady Beetle
AUGIEENTA0000135,Hippodamia,tredecimpunctata,1965-05-04,United States,IL,Mercer,Hippodamia tredecimpunctata,Thirteen-spotted Lady Beetle
AUGIEENTA0000136,Hippodamia,tredecimpunctata,1965-05-04,United States,IL,Mercer,Hippodamia tredecimpunctata,Thirteen-spotted Lady Beetle
AUGIEENTA0000137,Hippodamia,convergens,1970-10-20,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000138,Hippodamia,tredecimpunctata,1965-05-04,United States,IL,Mercer,Hippodamia tredecimpunctata,Thirteen-spotted Lady Beetle
AUGIEENTA0000139,Hippodamia,convergens,1971-05-29,United States,Illinois,Mercer,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000140,Hippodamia,convergens,1974-10-03,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000141,Hippodamia,convergens,1974-10-17,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000142,Hippodamia,convergens,1980-10-30,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000143,Hippodamia,convergens,1970-10-03,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000145,Hippodamia,convergens,1996-10-09,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000146,Hippodamia,convergens,1970-09-25,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000147,Hippodamia,convergens,1974-09-17,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000148,Hippodamia,convergens,1976-09-18,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000149,Coccinella,septempunctata,1988-11-03,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000150,Coccinella,septempunctata,1997-09-25,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000151,Coccinella,septempunctata,1986-10-07,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000152,Coccinella,septempunctata,1988-10-20,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000153,Coccinella,septempunctata,1988-11-03,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000154,Coccinella,septempunctata,2000-06-08,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000155,Coccinella,septempunctata,1986-10-15,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000156,Coccinella,septempunctata,1996-10-05,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000157,Coccinella,septempunctata,1986-09-20,United States,Illinois,Cook,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000158,Coccinella,septempunctata,1990-09-24,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000159,Coccinella,septempunctata,1995-10-10,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000160,Coccinella,septempunctata,1999-09-11,United States,Illinois,Lee,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000161,Coccinella,septempunctata,1986-10-30,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000024,Coleomegilla,maculata,2021-06-24,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000013,Coleomegilla,maculata,2021-06-23,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000162,Coccinella,septempunctata,1988-11-03,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000163,Coccinella,septempunctata,1986-10-07,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000012,Coleomegilla,maculata,2021-06-17,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000164,Coccinella,septempunctata,1986-10-02,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000165,Coccinella,septempunctata,1996-10-13,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000166,Coccinella,septempunctata,1986-09-23,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000011,Coleomegilla,maculata,2021-06-24,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000167,Coccinella,septempunctata,1988-10-04,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000010,Coleomegilla,maculata,2021-06-24,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000168,Coccinella,septempunctata,1999-07-09,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTA0000169,Coccinella,septempunctata,1992-09-24,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000001,Coleomegilla,maculata,2021-06-23,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000170,Coccinella,septempunctata,1997-07-09,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000017,Coleomegilla,maculata,2021-06-23,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000171,Coccinella,septempunctata,2018-09-13,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000016,Coleomegilla,maculata,2021-06-23,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000015,Coleomegilla,maculata,2021-06-23,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AGUIEENTB0000002,Coleomegilla,maculata,2021-06-23,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000020,Coleomegilla,maculata,2021-06-23,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000025,Coleomegilla,maculata,2021-06-24,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000026,Coleomegilla,maculata,2021-06-24,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000008,Propylea,quatuordecimpunctata,2021-06-23,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000027,Coleomegilla,maculata,2021-06-24,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000019,Propylea,quatuordecimpunctata,2021-06-23,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000028,Coleomegilla,maculata,2021-06-24,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000014,Hippodamia,parenthesis,2021-06-23,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000029,Coleomegilla,maculata,2021-06-24,United States,IA,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000004,Harmonia,axyridis,2021-06-24,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000022,Harmonia,axyridis,2021-06-23,United States,IA,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000006,Harmonia,axyridis,2021-06-24,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000009,Harmonia,axyridis,2021-06-24,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000023,Harmonia,axyridis,2021-06-24,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000005,Harmonia,axyridis,2021-06-24,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000003,Harmonia,axyridis,2021-06-24,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000030,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000031,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000032,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000033,Hippodamia,parenthesis,2021-07-06,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000034,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000035,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000036,Hippodamia,convergens,2021-07-06,United States,Iowa,Scott,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTB0000037,NA,NA,2021-07-06,United States,Iowa,Scott,Na na,Unknown
AUGIEENTB0000038,Hippodamia,parenthesis,2021-07-06,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000039,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000040,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000041,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000041,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000042,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000043,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000044,Coleomegilla,maculata,2021-07-06,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000045,Hippodamia,convergens,2021-07-06,United States,Iowa,Scott,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTB0000046,Harmonia,axyridis,2021-07-06,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
